bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
K000389,Rohit Khanna,540,546,490,50,56,"AFG,AIRE,ASFI,ATNF,BCS,BEAV,BEEM,BLL,BNP,BNS,BOTA,CEC,CHRB,CHRW,CISC,CM,CPB,CPHD,DALN,DT,DVMT,EIR,EIS,ELN,FB,FOX,GCVRZ,HSBA,IMSC,INZ,JTAIW,KAL,KLG,KOMN,LEN_B,LLY_WD,LNCB,LTHM,MFAN,MIAM,NI,OGN,PEAK,PERC,RPXC,SEAL_PB,SOLV#,SPOR,TE1,TOR,TSN,UN,USAB,VERX,WRB_PG,XP"
M001157,Michael T. McCaul,140,201,123,17,78,"AAIN,AEF,ALE,ALYAF,AONC,AONE,ASBA,ASTM,BEAV,BIRT,BKDT,BKE,BNRE,CAE,CARM,CHRB,CISC,CISS,COLV,CONN,CSAL,CSAN,CTEST,EI,ELVN,EOAN,EQV,ERKA,FB,FSR,GBNE,GEER,GOOG,GRE,HDNG,HUD,IHD,ISHC,JTAIW,KTO,KVUE,LEARQ,LOLI,MAMA,MCVT,MOBX,MPET,MSAI,MSDA,NAIT,NCMV,NDRE,NMT,NOLD,PMTU,PW,PWRS,QWST,RDS_A,RH,SAP,SARAQ,SBMC,SDOT,SPOR,SPRI1,STAR,STIX,TPTA,T_P_A,UPLM,UST1,VRNG,VTEX,WASH,WB1,WE,WPZ"
G000583,Josh Gottheimer,226,226,226,0,0,
J000307,John James,140,141,140,0,1,AFRM
M001217,Jared Moskowitz,82,82,82,0,0,
D000032,Byron Donalds,75,68,60,15,8,"ALVO,BEAS,CNC,ETAK,FB,GM_WSA,MLOG,VERX"
M001135,Kathy Manning,47,47,47,0,0,
G000596,Marjorie Taylor Mrs Greene,48,48,48,0,0,
L000601,Greg Landsman,38,38,38,0,0,
H001082,Kevin Hern,25,25,25,0,0,
F000472,C. Scott Franklin,39,39,39,0,0,
B000574,Earl Blumenauer,26,26,26,0,0,
F000450,Virginia Foxx,9,12,9,0,3,"DUK$A,EFC$D,T$A"
F000459,"Charles J. ""Chuck"" Fleischmann",32,7,1,31,6,"ADT1,ERTS,ILG,NDRE,PSTR,VSEC"
K000375,William R. Keating,17,17,17,0,0,
J000309,Jonathan Jackson,27,27,27,0,0,
M001213,Blake Moore,16,16,16,0,0,
B001248,Michael C. Burgess,15,15,15,0,0,
D000617,Suzan K. DelBene,1,1,1,0,0,
K000398,Thomas H. Kean,19,19,19,0,0,
N000189,Dan Newhouse,28,29,28,0,1,BAC$I
K000376,Mike Kelly,10,10,10,0,0,
T000483,David Trone,1,1,1,0,0,
L000564,Doug Lamborn,1,2,0,1,2,"INTA,KEA"
T000488,Shri Thanedar,6,6,6,0,0,
D000399,Lloyd Doggett,6,6,6,0,0,
A000372,Richard W. Allen,10,12,10,0,2,"912797KJ5,91282CFK2"
S000250,Pete Sessions,11,10,10,1,0,
M001220,Morgan McGarvey,10,10,10,0,0,
G000590,Mark Dr Green,2,2,2,0,0,
W000816,Roger Williams,11,11,11,0,0,
M001222,Max Miller,1,4,1,0,3,"GLA,GLAS FUNDS,GLAS FUNDS, LP"
J000295,David P. Joyce,8,8,8,0,0,
S000168,Maria Elvira Salazar,6,6,6,0,0,
Y000067,Rudy Yakym,0,4,0,0,4,"1_MONTH, MATURE,3_MONTH, MATURE,4_WEEK, MATURE,MATURE"
M001205,Carol Devine Miller,6,6,6,0,0,
L000560,Rick Larsen,10,10,10,0,0,
L000597,Laurel Lee,6,6,6,0,0,
P000197,Nancy Pelosi,6,6,6,0,0,
L000562,Stephen F. Lynch,2,2,2,0,0,
S001201,Thomas R. Suozzi,6,6,6,0,0,
W000797,Debbie Wasserman Schultz,8,8,8,0,0,
C001078,Gerald E. Connolly,3,3,3,0,0,
R000614,Chip Roy,7,7,7,0,0,
D000624,Debbie Dingell,1,1,1,0,0,
M001204,Daniel Meuser,1,1,1,0,0,
R000395,Harold Dallas Rogers,2,1,0,2,1,RWTN
C001101,Katherine M. Clark,1,1,1,0,0,
C001103,Earl Leroy Carter,1,1,1,0,0,
L000566,Robert E. Latta,1,1,1,0,0,
S000929,Victoria Spartz,1,1,1,0,0,
C001068,Steve Cohen,2,3,2,0,1,HAMILTO
G000591,Michael Patrick Guest,4,4,4,0,0,
E000296,Dwight Evans,3,3,3,0,0,
G000589,Lance Gooden,3,3,3,0,0,
M001199,Brian Mast,2,2,2,0,0,
A000148,Jake Auchincloss,1,1,1,0,0,
B000740,Stephanie Bice,0,2,0,0,2,"912796CR8,912796ZN2"
C001066,Kathy Castor,1,1,1,0,0,
C001080,Judy Chu,1,1,1,0,0,
D000615,Jeff Duncan,2,2,2,0,0,
H001072,James French Hill,2,2,2,0,0,
S001207,Mikie Sherrill,1,1,1,0,0,
S001209,Abigail Spanberger,1,1,1,0,0,
S001214,Greg Steube,1,1,1,0,0,
G000577,Garret Graves,1,1,1,0,0,
L000585,Darin McKay LaHood,1,1,1,0,0,
L000590,Susie Lee,1,1,1,0,0,
R000305,Deborah Ross,1,1,1,0,0,
R000606,Jamie Raskin,1,1,1,0,0,
