bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,date_confidence,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,ticker_source,provenance,occurrence_index
B001273,Diane Black,house,Republican,TN06,,False,2016-01-13,2016-01-28,plausible,WFC,Wells Fargo & Co,Stock,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,9108217,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108217.pdf,fb95287a1d40b1e4d004ac20111aa16418ba2def37fc0ad28560536219fc3e5e,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-13,2016-01-28,plausible,USB,U S Bancorp,Stock,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,9108217,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108217.pdf,ccc4c6aaf802c9122d197e89072c4377d937ac98a803a16b55e93073f41446f4,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-13,2016-01-28,plausible,DISCA,Discovery Communications,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9108217,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108217.pdf,b8a84e168a73f63e3000721dd96d531a7682a1587c2111a8e16146fdf87da609,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-14,2016-01-28,plausible,PYPL,Paypal Holdings Inc,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9108217,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108217.pdf,bcb94908d0b10fe23aa56a0d33f3fd5183ed977c7ebe934dcdcc97a26e8d9785,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-15,2016-01-28,plausible,PYPL,Paypal Holdings Inc,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108217,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108217.pdf,59be38515357ea22a906aba48c914912b3ff90a3bd4dd039d2245f46dccf5a25,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-21,2016-01-28,plausible,PYPL,Paypal Holdings Inc,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108217,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108217.pdf,20aa3909fcfe5c760c215182e4fd0e483e736c698a4ee49e4ba21e559704ba21,elec_dict,house-pdf-ocr,0
B001257,Gus M. Bilirakis,house,Republican,FL12,HSIF14; HSIF16; HSIF17; House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,False,2016-05-06,2016-05-24,plausible,STI,"Sun Trust Banks, Inc STI",Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9109045,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109045.pdf,d61a543161b0e45cf7e9f079e288df7b7103f461a6a1814e53705efe6c6fccb6,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-25,2016-02-19,plausible,USB,U S BANCORP,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,64b04f2efcaa9410eb2996672eb7a1c86b9f7c1772923430247a1a6416111c1d,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-25,2016-02-19,plausible,WMT,WAL-MART STORES INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,38684f704df3cdf87f29163a11a0ff7544d1f487cda0956177bc624e9fb3b440,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-25,2016-02-19,plausible,WFC,WELLS FARGO & CO,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,804cbee32b4cd638a69d03494b76ba635f278864c0d4db4842aa2f503fc2953c,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-01-28,2016-02-19,plausible,USB,U S BANCORP,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,313254bd1c95769099ecf451e663f6b6df196b0607edd79d77edb5179f9c10ce,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-02,2016-02-19,plausible,CLB,BERKSHIRE HATHAWAY INC-CLB,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,e1d5c431b49aa4b6613f7fd09053581cbd3ee993b385da81fe819ef40a3b1f9c,explicit,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-08,2016-02-19,plausible,WFC,WELLS FARGO & CO,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,8310914af246b1942d7d4ea0a2713a03746b9f2bf5f5716c8ab11f6f97ed93dc,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-08,2016-02-19,plausible,FLT,FLEETCOR TECHNOLOGIES INC COM STK,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,e11a13b89bfa62eea7cd4e5152c2afff3e837466858df1e70a1c93c7d678dfe4,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-11,2016-02-19,plausible,FLT,FLEETCOR TECHNOLOGIES INC COM STK,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,34b5f6b1574c74136766aa0627f7d036c2f4c47c5d99a10ef8a5a593285b0ae5,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-11,2016-02-19,plausible,FLT,FLEETCOR TECHNOLOGIES INC COM STK,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108341,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108341.pdf,34b5f6b1574c74136766aa0627f7d036c2f4c47c5d99a10ef8a5a593285b0ae5,llm,house-pdf-ocr,1
B001257,Gus M. Bilirakis,house,Republican,FL12,HSIF14; HSIF16; HSIF17; House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,False,2016-02-03,2016-02-11,plausible,TSS,Total Systems Svc. Inc,Stock,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9108317,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108317.pdf,6b2be89bf51c8995625be14833475df55f9af063b1b7597163ef28fca43934a0,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-06-29,2016-07-15,plausible,GOOGL,ALPHABET INC CL C,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9109671,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf,d0f53c6c73049904fea7fe1774079f2c8cef9558ae36f06d795a290c94e274d8,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-06-29,2016-07-15,plausible,BRK.A,BERKSHIRE HATHAWAY INC-CL B,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9109671,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf,563470e7520ffb2a675b031e2a9454efd3e198647044724cae7157ddb7df42d8,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-06-29,2016-07-15,plausible,DEO,DIAGEO PLC-SPONSORED ADR,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9109671,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf,789d5d571a1a80c343fcfd77b69ed2a82260ae2b933b424faf140e5e78cec9a3,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-06-29,2016-07-15,plausible,ZTS,ZOETIS INC COM STK,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9109671,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf,6cdc03afbbf88d801f4c874d83a6d91af89450ac95d78e06710ba8caff63b434,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-06-29,2016-07-15,plausible,C,DISCOVERY COMMUNICATIONS-C,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9109671,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf,52bf7e35eb48aa46eab81ab69cb7b6c47f6aaee0e40db946460fccf483381e6c,explicit,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-06-29,2016-07-15,plausible,A,LIBERTY INTERACTIVE CORP Q-A,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9109671,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf,dff17e32e07c9a7f5358b534edeb03bc0eef97e3423b34d56faa4eb8c5d597fb,explicit,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-06-29,2016-07-15,plausible,UN,UNILEVER N V-NY SHARES,,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9109671,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf,549f27b8f5705a2f0b33eb88c108475a1c4c65ab92f4bf827de9ff4c9a06b22e,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-06-30,2016-07-15,plausible,ORCL,ORACLE CORP,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9109671,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9109671.pdf,d4a1da004fe8de6b595f325923b927f0a53d03957aad5f9069bf171c7d1a0cd9,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-03-31,2016-04-27,plausible,,YORK INVESTMENTS PENDING REDEMPT.,,Sale,"$1,000,001 - $5,000,000",3000000.0,False,Spouse,9108649,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108649.pdf,82f8dcb91cb6f192f18c85fb2e85075b003f6b2606dc90b7209a371ee76141e8,none,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-04-06,2016-04-27,plausible,PRGO,PERRIGO CO PLC COM STK,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108649,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108649.pdf,aff3088f06f051ea64f55e045d7e3df8d09b2d1e2fe1e45858d42476a558c21f,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-04-08,2016-04-27,plausible,PRGO,PERRIGO CO PLC COM STK,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108649,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108649.pdf,b9a8473e2892559c650c3dec19cab5e9ebb4ed77f585f0b70ac390cffbe6ee09,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-04-14,2016-04-27,plausible,PRGO,PERRIGO CO PLC COM STK,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108649,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108649.pdf,aa2a914a1fedf0adf6340a2ea2e2309c2c0409ebc29f0378ea007b56614e4b69,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-17,2016-03-08,plausible,FLT,FLEETCOR TECHNOLOGIES INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108425,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108425.pdf,a8b91b8bc34564b2fec3b0a425693fd7c632fe18c383cbedb1a171961188f288,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-24,2016-03-08,plausible,CE,CELANESE CORP SERIES A,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9108425,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108425.pdf,b05b3c8521c95328c115118a0ba10b97f948d92d0f55034dbf19d7205ff1a30c,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-24,2016-03-08,plausible,PYPL,PAYPAL HOLDINGS INC,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Spouse,9108425,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108425.pdf,51e34c30442f05c51a538a1d9d82160ba2707e27088586c9c7d6815c4edd211f,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-24,2016-03-08,plausible,ZTS,ZOETIS INC,Stock,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,9108425,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108425.pdf,cdb98333c7f2a5168fc3661648458ca6531a15276765432915e31d5b6813643d,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2016-02-24,2016-03-08,plausible,NVS,NOVARTIS AG,,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,9108425,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2016/9108425.pdf,d739194fcda51b935c2a5ed431b93557930f6fb9438c13af774a867e5320e0a6,elec_dict,house-pdf-ocr,0
